Warehouse,Product,Stock Level,Reorder Level,Supplier,Last Updated,Transport Cost
WH-C,Camera,240.0,216,Supplier-Z,2024-08-14,3074
WH-B,Keyboard,328.0,101,Supplier-Z,2024-08-08,2029
WH-C,Tablet,183.0,227,Supplier-A,2025-09-27,2623
WH-D,Monitor,212.0,150,Supplier-Z,2025-07-06,2472
WH-A,Monitor,299.0,246,Supplier-B,2025-07-26,2428
WH-A,Camera,244.0,227,Supplier-Y,2026-06-15,2317
WH-D,Camera,344.0,114,Supplier-Y,2026-04-24,3519
WH-B,Printer,57.0,203,Supplier-A,2025-08-17,2166
WH-E,Printer,279.0,227,Supplier-B,2024-10-31,3501
WH-E,Laptop,379.0,187,Supplier-Z,2024-08-14,3791
WH-A,Mobile,356.0,92,Supplier-Y,2025-07-30,2449
WH-E,Laptop,350.0,152,Supplier-B,2024-09-01,3985
WH-C,Printer,,106,Supplier-X,2026-04-23,1911
WH-E,Monitor,211.0,247,Supplier-A,2024-11-22,2930
WH-E,Tablet,32.0,125,Supplier-Z,2024-08-23,2358
WH-A,Mobile,198.0,166,Supplier-Y,2025-10-06,2045
WH-B,Camera,,234,Supplier-Z,2024-08-22,2206
WH-D,Mouse,,231,Supplier-X,2025-12-07,958
WH-A,Mouse,366.0,239,Supplier-X,2026-05-01,1522
WH-E,Tablet,101.0,159,Supplier-B,2024-12-30,2789
WH-B,Printer,115.0,160,Supplier-Y,2025-05-10,2097
WH-A,Monitor,323.0,51,Supplier-A,2024-10-02,2479
WH-B,Monitor,405.0,66,Supplier-Z,2026-05-23,2760
WH-A,Tablet,186.0,79,Supplier-Z,2025-09-16,1942
WH-D,Mouse,218.0,200,Supplier-B,2025-01-08,2012
WH-C,Mouse,336.0,222,Supplier-A,2025-09-23,2369
WH-C,Mobile,180.0,128,Supplier-Y,2025-10-05,2049
WH-B,Mouse,281.0,202,Supplier-Y,2024-07-31,1513
WH-E,Printer,115.0,187,Supplier-A,2025-10-25,3050
WH-B,Tablet,167.0,130,Supplier-A,2024-09-02,2482
WH-D,Laptop,24.0,99,Supplier-Z,2025-05-22,2639
WH-D,Camera,370.0,231,Supplier-A,2025-11-23,3890
WH-D,Camera,62.0,244,Supplier-Y,2025-09-27,2448
WH-C,Laptop,135.0,93,Supplier-Z,2025-09-13,2754
WH-D,Camera,281.0,79,Supplier-B,2025-08-11,3430
WH-E,Mouse,441.0,244,Supplier-B,2025-03-03,3191
WH-D,Monitor,72.0,217,Supplier-A,2026-06-27,2350
WH-B,Keyboard,250.0,72,Supplier-X,2025-01-19,1574
WH-A,Monitor,435.0,226,Supplier-Y,2024-12-06,2434
WH-E,Printer,335.0,102,Supplier-Y,2025-12-03,3571
WH-B,Laptop,199.0,202,Supplier-B,2026-01-08,2822
WH-B,Mouse,168.0,181,Supplier-Z,2025-03-02,1551
WH-A,Tablet,,120,Supplier-A,2025-01-02,1793
WH-B,Tablet,94.0,113,Supplier-Y,2025-01-23,2021
WH-D,Camera,315.0,210,Supplier-Y,2025-05-04,3307
WH-D,Camera,344.0,246,Supplier-X,2024-10-10,3129
WH-D,Keyboard,252.0,133,Supplier-Z,2025-12-04,2253
WH-A,Mobile,345.0,141,Supplier-A,2025-11-14,2720
WH-A,Printer,239.0,176,Supplier-Y,2025-02-19,2204
WH-C,Keyboard,300.0,194,Supplier-Z,2025-06-21,2336
WH-D,Mouse,,250,Supplier-X,2025-03-03,1328
WH-D,Laptop,495.0,162,Supplier-X,2026-06-22,3668
WH-A,Printer,372.0,216,Supplier-Y,2026-02-04,2620
WH-B,Keyboard,355.0,71,Supplier-X,2026-06-27,1855
WH-B,Laptop,340.0,229,Supplier-A,2024-08-26,3256
WH-B,Printer,,104,Supplier-X,2024-07-08,1694
WH-A,Tablet,135.0,163,Supplier-B,2025-06-21,1859
WH-A,Mouse,460.0,83,Supplier-X,2025-10-26,1924
WH-A,Monitor,65.0,76,Supplier-A,2025-09-11,1397
WH-C,Mouse,90.0,242,Supplier-Z,2024-09-16,1617
WH-B,Tablet,291.0,206,Supplier-X,2024-08-26,2455
WH-B,Camera,389.0,241,Supplier-Z,2025-08-22,3094
WH-D,Camera,64.0,85,Supplier-Y,2024-12-13,2727
WH-A,Printer,239.0,85,Supplier-Z,2025-07-28,2293
WH-C,Mobile,303.0,234,Supplier-Y,2025-01-22,2670
WH-C,Laptop,125.0,180,Supplier-Z,2024-10-11,2421
WH-D,Keyboard,421.0,111,Supplier-X,2026-06-25,2516
WH-D,Mobile,275.0,68,Supplier-Y,2025-03-29,2745
WH-A,Mouse,87.0,195,Supplier-Z,2026-05-16,976
WH-C,Tablet,,200,Supplier-A,2024-08-23,1784
WH-A,Keyboard,40.0,151,Supplier-Y,2026-05-14,879
WH-C,Printer,379.0,213,Supplier-A,2025-01-06,3361
WH-E,Tablet,62.0,180,Supplier-Z,2025-04-14,2340
WH-B,Mouse,320.0,216,Supplier-A,2025-02-07,2108
WH-A,Keyboard,393.0,111,Supplier-A,2024-10-31,1908
WH-B,Mobile,79.0,205,Supplier-A,2025-06-06,1715
WH-C,Tablet,26.0,229,Supplier-X,2026-04-09,1533
WH-B,Camera,287.0,234,Supplier-Z,2025-08-26,2843
WH-B,Mouse,403.0,118,Supplier-Y,2025-12-29,2184
WH-A,Laptop,433.0,184,Supplier-Z,2025-02-20,2881
WH-C,Mobile,253.0,64,Supplier-A,2025-10-19,2664
WH-E,Tablet,100.0,76,Supplier-Z,2026-03-19,2643
WH-A,Monitor,,53,Supplier-B,2025-11-20,1375
WH-A,Camera,216.0,95,Supplier-Z,2025-08-15,2737
WH-A,Printer,184.0,234,Supplier-Y,2024-07-07,2065
WH-C,Mobile,210.0,222,Supplier-B,2025-12-01,2406
WH-B,Monitor,43.0,67,Supplier-B,2026-03-27,2028
WH-D,Keyboard,,166,Supplier-Z,2025-09-04,1204
WH-C,Monitor,308.0,239,Supplier-Z,2025-02-18,2692
WH-B,Camera,322.0,247,Supplier-Z,2026-06-24,3213
WH-B,Monitor,23.0,56,Supplier-Y,2025-11-28,1338
WH-E,Mouse,,218,Supplier-X,2024-09-19,1292
WH-C,Mobile,291.0,157,Supplier-Y,2026-06-30,2574
WH-A,Tablet,,109,Supplier-Z,2026-05-14,1682
WH-E,Printer,254.0,71,Supplier-Z,2024-10-13,3309
WH-A,Tablet,58.0,65,Supplier-A,2025-01-22,1746
WH-B,Monitor,153.0,150,Supplier-Z,2024-09-28,2067
WH-C,Mouse,159.0,101,Supplier-A,2026-05-23,1546
WH-E,Mobile,74.0,169,Supplier-Y,2024-09-22,2232
WH-D,Mobile,203.0,103,Supplier-B,2026-01-28,2790
WH-C,Camera,456.0,90,Supplier-Z,2025-09-03,3831
WH-C,Laptop,447.0,87,Supplier-Y,2024-10-29,3237
WH-B,Mouse,,126,Supplier-A,2025-01-28,933
WH-B,Laptop,457.0,241,Supplier-A,2025-02-04,3502
WH-B,Mobile,72.0,85,Supplier-A,2025-10-13,1728
WH-A,Laptop,86.0,152,Supplier-Y,2024-12-11,1898
WH-A,Keyboard,31.0,100,Supplier-X,2026-01-09,823
WH-D,Tablet,483.0,134,Supplier-X,2025-03-24,3161
WH-A,Camera,106.0,160,Supplier-X,2024-12-06,2188
WH-D,Camera,215.0,94,Supplier-X,2025-12-16,2876
WH-B,Tablet,163.0,88,Supplier-Z,2025-11-05,1956
WH-E,Monitor,275.0,190,Supplier-Z,2026-04-24,2920
WH-A,Mobile,216.0,101,Supplier-Z,2025-01-22,2127
WH-E,Monitor,,147,Supplier-B,2025-07-28,2450
WH-C,Camera,420.0,194,Supplier-B,2025-07-15,3767
WH-C,Printer,,202,Supplier-Z,2025-01-12,1962
WH-A,Keyboard,434.0,185,Supplier-X,2026-06-04,1885
WH-E,Monitor,71.0,111,Supplier-Y,2026-06-06,2099
WH-E,Laptop,314.0,149,Supplier-Y,2026-04-19,3373
WH-B,Tablet,323.0,238,Supplier-Y,2024-08-09,2676
WH-C,Laptop,310.0,194,Supplier-Z,2024-09-10,2976
WH-D,Keyboard,,64,Supplier-Y,2025-11-05,1219
WH-E,Monitor,289.0,134,Supplier-X,2025-05-26,2831
WH-B,Tablet,387.0,132,Supplier-Z,2026-04-06,2641
WH-A,Tablet,380.0,248,Supplier-B,2025-01-31,2646
WH-E,Mouse,211.0,219,Supplier-X,2024-08-04,1935
WH-E,Mobile,174.0,90,Supplier-Z,2024-07-03,2846
WH-D,Camera,109.0,193,Supplier-Z,2025-03-17,2932
WH-E,Mouse,360.0,94,Supplier-Y,2026-02-19,2473
WH-C,Keyboard,110.0,229,Supplier-Y,2024-10-10,1523
WH-D,Laptop,328.0,206,Supplier-Y,2025-11-07,3147
WH-E,Mobile,92.0,69,Supplier-A,2025-01-20,2447
WH-C,Mouse,345.0,72,Supplier-Y,2024-11-03,2255
WH-C,Camera,155.0,227,Supplier-X,2026-01-27,2349
WH-C,Keyboard,,148,Supplier-X,2025-06-09,1024
WH-D,Tablet,272.0,139,Supplier-A,2025-09-02,3045
WH-D,Mobile,423.0,216,Supplier-A,2025-12-31,3507
WH-B,Tablet,57.0,58,Supplier-A,2025-05-29,1871
WH-A,Mouse,,93,Supplier-Z,2025-09-09,692
WH-B,Mobile,479.0,136,Supplier-B,2024-07-08,3291
WH-E,Camera,240.0,92,Supplier-X,2024-09-25,3280
WH-D,Tablet,71.0,98,Supplier-X,2024-08-28,2072
WH-E,Keyboard,172.0,62,Supplier-Z,2026-05-17,2117
WH-E,Camera,47.0,159,Supplier-Y,2025-12-19,2535
WH-C,Camera,,93,Supplier-Y,2026-06-03,2276
WH-C,Mobile,452.0,250,Supplier-A,2024-10-24,3209
WH-D,Camera,66.0,149,Supplier-Z,2025-08-28,2542
WH-C,Printer,115.0,117,Supplier-Z,2024-07-28,2420
WH-D,Keyboard,448.0,65,Supplier-Y,2026-04-10,2521
WH-A,Mobile,433.0,243,Supplier-Z,2025-04-13,2750
WH-B,Laptop,439.0,187,Supplier-A,2025-09-26,3518
WH-D,Monitor,,232,Supplier-A,2025-09-03,1767
WH-E,Tablet,407.0,92,Supplier-X,2024-10-24,3179
WH-B,Tablet,,224,Supplier-X,2025-05-30,1472
WH-B,Tablet,152.0,236,Supplier-B,2024-10-07,2519
WH-A,Mobile,304.0,133,Supplier-A,2024-08-02,2600
WH-C,Camera,422.0,200,Supplier-X,2025-02-25,3383
WH-D,Mobile,96.0,200,Supplier-A,2025-04-10,2436
WH-A,Mobile,419.0,123,Supplier-B,2026-05-30,3051
WH-E,Mouse,155.0,174,Supplier-A,2026-06-25,2157
WH-E,Camera,108.0,86,Supplier-X,2026-03-11,2890
WH-E,Printer,222.0,134,Supplier-X,2026-04-30,3069
WH-B,Laptop,491.0,145,Supplier-A,2024-07-31,3333
WH-C,Keyboard,163.0,228,Supplier-Z,2026-05-30,1839
WH-A,Monitor,173.0,163,Supplier-Y,2025-04-04,1865
WH-C,Keyboard,329.0,98,Supplier-A,2024-12-11,2313
WH-B,Printer,408.0,145,Supplier-A,2025-12-12,3394
WH-A,Tablet,179.0,153,Supplier-X,2025-01-10,1656
WH-E,Laptop,118.0,101,Supplier-Y,2025-12-01,3032
WH-A,Monitor,,142,Supplier-X,2024-09-18,1210
WH-B,Keyboard,441.0,151,Supplier-Z,2025-04-01,2448
WH-A,Laptop,210.0,164,Supplier-Y,2026-02-26,2170
WH-D,Mouse,103.0,116,Supplier-Z,2025-09-08,1792
WH-A,Keyboard,,196,Supplier-X,2026-05-18,799
WH-B,Monitor,366.0,216,Supplier-Y,2026-05-11,2457
WH-E,Laptop,262.0,215,Supplier-X,2025-05-12,3024
WH-E,Laptop,149.0,128,Supplier-Y,2025-10-26,3061
WH-C,Printer,456.0,114,Supplier-A,2026-02-03,3429
WH-D,Keyboard,442.0,199,Supplier-B,2024-10-29,2778
WH-A,Mouse,351.0,122,Supplier-B,2026-06-20,1905
WH-A,Camera,192.0,213,Supplier-X,2026-06-23,2192
WH-C,Keyboard,116.0,245,Supplier-Z,2024-12-31,1471
WH-A,Printer,368.0,56,Supplier-Z,2026-05-03,2889
WH-D,Keyboard,484.0,149,Supplier-Z,2024-11-04,3029
WH-A,Monitor,391.0,225,Supplier-Z,2026-03-14,2496
WH-D,Mouse,173.0,218,Supplier-B,2026-03-22,2267
WH-E,Tablet,69.0,239,Supplier-Z,2024-11-15,2389
WH-E,Tablet,,140,Supplier-Z,2026-05-16,2164
WH-C,Printer,210.0,125,Supplier-Z,2025-05-17,2717
WH-A,Camera,463.0,198,Supplier-X,2024-07-20,3156
WH-A,Camera,276.0,224,Supplier-Y,2024-11-17,2573
WH-E,Keyboard,47.0,88,Supplier-A,2026-01-24,1711
WH-B,Mouse,311.0,167,Supplier-A,2026-06-19,1806
WH-C,Tablet,269.0,95,Supplier-X,2025-03-16,2417
WH-A,Laptop,160.0,248,Supplier-A,2026-02-28,2216
WH-E,Tablet,422.0,72,Supplier-A,2026-06-23,3482
WH-E,Printer,226.0,172,Supplier-A,2025-05-16,3224
WH-A,Laptop,122.0,53,Supplier-B,2026-03-16,2280
WH-E,Monitor,,237,Supplier-X,2025-12-03,1777
WH-B,Mouse,86.0,178,Supplier-Z,2026-05-03,1259
WH-C,Tablet,,124,Supplier-X,2026-01-22,1683
WH-E,Mouse,474.0,84,Supplier-A,2026-03-22,2997
WH-D,Mouse,104.0,153,Supplier-Y,2025-01-09,1321
WH-B,Monitor,128.0,200,Supplier-Y,2025-01-24,1792
WH-B,Mobile,384.0,59,Supplier-Z,2024-11-01,2694
WH-C,Laptop,44.0,217,Supplier-B,2026-03-04,2710
WH-A,Laptop,233.0,81,Supplier-X,2025-12-27,2329
WH-C,Camera,125.0,211,Supplier-Y,2024-09-22,2329
WH-C,Printer,359.0,209,Supplier-X,2025-04-24,3037
WH-B,Printer,281.0,80,Supplier-X,2026-05-09,2437
WH-A,Mobile,121.0,249,Supplier-A,2024-07-31,1747
WH-E,Monitor,380.0,91,Supplier-Z,2026-04-28,3010
WH-E,Camera,372.0,134,Supplier-Y,2025-07-01,3586
WH-A,Laptop,484.0,196,Supplier-X,2024-12-20,3144
WH-D,Tablet,419.0,235,Supplier-X,2024-12-03,3277
WH-A,Keyboard,253.0,125,Supplier-Y,2026-03-27,1394
WH-D,Laptop,436.0,60,Supplier-X,2026-06-14,3694
WH-C,Mouse,238.0,74,Supplier-Z,2025-06-23,2049
WH-A,Laptop,359.0,134,Supplier-Y,2025-03-29,2710
WH-D,Keyboard,210.0,96,Supplier-X,2025-02-23,1688
WH-D,Printer,159.0,226,Supplier-A,2026-03-30,3062
WH-D,Printer,77.0,235,Supplier-Y,2026-03-10,2211
WH-B,Mobile,486.0,195,Supplier-A,2026-05-08,3255
WH-D,Tablet,214.0,206,Supplier-B,2024-12-24,2706
WH-B,Camera,77.0,162,Supplier-A,2024-12-21,2204
WH-A,Keyboard,26.0,223,Supplier-Z,2024-07-19,946
WH-E,Monitor,285.0,229,Supplier-Z,2025-11-25,3021
WH-A,Printer,266.0,223,Supplier-Y,2024-11-28,2476
WH-D,Tablet,476.0,63,Supplier-B,2025-05-06,3483
WH-B,Camera,465.0,242,Supplier-A,2025-03-12,3596
WH-C,Monitor,,107,Supplier-Z,2025-02-02,1731
WH-D,Printer,60.0,196,Supplier-Y,2026-05-03,2359
WH-A,Camera,181.0,177,Supplier-A,2024-08-23,2674
WH-A,Mobile,,190,Supplier-A,2026-02-21,1250
WH-A,Keyboard,307.0,221,Supplier-B,2025-02-02,1954
WH-C,Mouse,438.0,166,Supplier-X,2025-03-30,2183
WH-E,Camera,386.0,74,Supplier-Z,2025-11-11,3996
WH-B,Laptop,201.0,124,Supplier-Z,2025-07-31,2633
WH-E,Mouse,43.0,176,Supplier-X,2025-05-07,1300
WH-D,Mobile,332.0,80,Supplier-Z,2025-12-10,3182
WH-D,Monitor,442.0,233,Supplier-A,2026-04-17,3249
WH-A,Printer,494.0,222,Supplier-X,2025-08-21,3033
WH-A,Camera,357.0,179,Supplier-A,2025-03-15,2889
WH-D,Laptop,,160,Supplier-B,2026-06-30,2779
WH-E,Camera,419.0,95,Supplier-B,2024-07-22,4261
WH-E,Tablet,73.0,203,Supplier-Y,2024-09-28,2479
WH-C,Printer,331.0,245,Supplier-A,2026-05-13,3070
WH-C,Printer,170.0,84,Supplier-Z,2025-01-19,2430
WH-D,Keyboard,460.0,238,Supplier-B,2024-11-16,3063
WH-B,Monitor,339.0,225,Supplier-Y,2025-09-24,2343
WH-B,Tablet,297.0,132,Supplier-B,2025-01-23,2904
WH-A,Mouse,265.0,220,Supplier-B,2024-07-30,1858
WH-D,Keyboard,,77,Supplier-A,2024-09-23,1312
WH-D,Tablet,,118,Supplier-X,2025-10-07,2034
WH-B,Keyboard,94.0,226,Supplier-Z,2025-06-03,1483
WH-C,Monitor,36.0,165,Supplier-B,2025-03-26,1810
WH-E,Monitor,219.0,250,Supplier-B,2026-01-17,3114
WH-C,Laptop,218.0,225,Supplier-A,2026-03-03,2864
WH-E,Laptop,400.0,208,Supplier-X,2025-03-01,3794
WH-D,Monitor,406.0,239,Supplier-Z,2025-06-04,3176
WH-B,Monitor,249.0,224,Supplier-Z,2025-10-14,2035
WH-B,Tablet,81.0,159,Supplier-B,2025-08-02,2035
WH-E,Keyboard,102.0,115,Supplier-Y,2024-09-28,1608
WH-C,Camera,40.0,132,Supplier-Y,2025-04-26,2375
WH-A,Keyboard,424.0,141,Supplier-A,2026-05-30,2009
WH-C,Monitor,,179,Supplier-Y,2025-09-21,1431
WH-D,Printer,198.0,104,Supplier-X,2024-11-25,2783
WH-C,Mouse,170.0,242,Supplier-Z,2025-01-14,1726
WH-E,Camera,441.0,216,Supplier-B,2024-08-04,3977
WH-A,Mouse,143.0,207,Supplier-A,2026-01-02,1347
WH-B,Laptop,215.0,79,Supplier-Z,2025-06-04,2592
WH-C,Keyboard,486.0,247,Supplier-X,2024-07-02,2449
WH-E,Camera,42.0,216,Supplier-A,2025-08-08,2774
WH-C,Mobile,105.0,247,Supplier-X,2026-06-19,1940
WH-E,Laptop,127.0,248,Supplier-X,2026-03-19,2640
WH-D,Mobile,295.0,239,Supplier-Y,2025-08-23,2931
WH-D,Mobile,32.0,134,Supplier-Y,2025-12-16,1765
WH-A,Mobile,111.0,192,Supplier-X,2026-01-10,1319
WH-E,Monitor,228.0,211,Supplier-Z,2026-07-01,2741
WH-D,Mouse,219.0,186,Supplier-X,2026-01-28,1560
WH-E,Mobile,43.0,68,Supplier-B,2026-01-24,2462
WH-E,Mobile,422.0,205,Supplier-Z,2025-12-03,3260
WH-C,Camera,222.0,57,Supplier-A,2024-12-01,3058
WH-B,Monitor,402.0,189,Supplier-Y,2025-04-09,2507
WH-B,Keyboard,25.0,192,Supplier-Z,2025-05-31,947
WH-A,Laptop,313.0,187,Supplier-X,2024-08-24,2569
WH-A,Keyboard,403.0,235,Supplier-Y,2025-11-28,1885
WH-B,Printer,92.0,106,Supplier-B,2026-06-16,2441
WH-C,Monitor,112.0,195,Supplier-X,2025-03-14,2022
WH-A,Camera,57.0,67,Supplier-B,2025-10-28,2149
WH-A,Monitor,269.0,141,Supplier-B,2025-03-01,2122
WH-B,Mobile,,99,Supplier-Z,2025-11-28,1512
WH-D,Camera,335.0,227,Supplier-Z,2026-04-20,3554
WH-B,Mouse,239.0,130,Supplier-Z,2024-10-05,1543
WH-B,Printer,450.0,223,Supplier-Z,2026-01-11,3375
WH-C,Camera,248.0,128,Supplier-A,2026-05-31,3143
WH-E,Mobile,350.0,121,Supplier-Y,2025-02-19,3339
WH-B,Monitor,395.0,69,Supplier-Z,2025-07-29,2807
WH-A,Laptop,,198,Supplier-B,2025-02-26,2046
WH-D,Monitor,302.0,188,Supplier-X,2025-11-30,2597
WH-B,Mouse,134.0,200,Supplier-A,2025-05-14,1577
WH-C,Tablet,276.0,151,Supplier-A,2025-03-11,2764
WH-E,Laptop,454.0,207,Supplier-Y,2025-05-09,3962
WH-B,Tablet,101.0,194,Supplier-A,2025-12-24,2190
WH-B,Camera,40.0,174,Supplier-Z,2025-02-15,2088
WH-A,Keyboard,,102,Supplier-Z,2025-09-04,865
WH-C,Printer,489.0,61,Supplier-A,2024-10-07,3437
WH-C,Mobile,344.0,239,Supplier-B,2024-11-27,2916
WH-E,Tablet,354.0,200,Supplier-A,2025-05-23,3546
WH-A,Keyboard,484.0,153,Supplier-A,2025-11-29,2332
WH-C,Camera,474.0,178,Supplier-A,2026-07-01,3643
WH-D,Tablet,59.0,121,Supplier-Y,2025-04-21,2035
WH-B,Tablet,205.0,80,Supplier-Y,2025-12-09,2303
WH-B,Printer,388.0,222,Supplier-Z,2026-02-02,3059
WH-D,Monitor,102.0,155,Supplier-B,2026-06-02,2167
WH-B,Laptop,313.0,84,Supplier-Y,2024-11-13,2911
WH-E,Laptop,,116,Supplier-B,2025-10-22,2642
WH-E,Printer,308.0,234,Supplier-B,2025-09-16,3746
WH-C,Mobile,249.0,170,Supplier-Y,2025-02-19,2641
WH-D,Tablet,445.0,86,Supplier-Y,2025-05-12,3491
WH-E,Tablet,357.0,92,Supplier-B,2025-08-30,3691
WH-C,Camera,,146,Supplier-B,2026-04-09,2447
WH-B,Mobile,123.0,179,Supplier-X,2024-07-01,1869
WH-D,Tablet,69.0,207,Supplier-B,2025-02-22,2564
WH-A,Mobile,266.0,204,Supplier-X,2025-02-08,2024
WH-A,Printer,235.0,61,Supplier-B,2024-12-11,2712
WH-E,Printer,500.0,246,Supplier-Y,2025-05-30,3845
WH-C,Mobile,88.0,246,Supplier-A,2026-03-03,2033
WH-A,Keyboard,468.0,115,Supplier-B,2025-09-24,2300
WH-A,Laptop,287.0,51,Supplier-B,2025-10-15,2803
WH-B,Mouse,205.0,159,Supplier-A,2025-11-21,1748
WH-E,Keyboard,457.0,194,Supplier-Z,2025-03-08,2958
WH-E,Keyboard,406.0,191,Supplier-A,2025-06-27,3119
WH-E,Camera,209.0,173,Supplier-Y,2025-06-09,3106
WH-C,Mouse,396.0,218,Supplier-A,2025-06-09,2248
WH-B,Camera,71.0,152,Supplier-Y,2025-12-07,2365
WH-C,Laptop,219.0,51,Supplier-Y,2024-12-13,2918
WH-A,Tablet,494.0,72,Supplier-A,2025-08-02,2864
WH-C,Monitor,60.0,235,Supplier-Z,2025-07-03,1826
WH-D,Keyboard,49.0,94,Supplier-B,2026-03-09,1874
WH-D,Camera,123.0,182,Supplier-X,2026-05-31,2565
WH-B,Laptop,281.0,109,Supplier-B,2026-03-11,3107
WH-B,Laptop,142.0,90,Supplier-Z,2026-01-23,2220
WH-C,Printer,362.0,200,Supplier-Z,2024-11-09,3038
WH-E,Laptop,,122,Supplier-X,2025-11-24,2521
WH-E,Mouse,437.0,205,Supplier-Z,2024-09-04,2710
WH-D,Printer,22.0,154,Supplier-B,2025-02-06,2575
WH-A,Mobile,170.0,79,Supplier-B,2025-08-05,2271
WH-E,Keyboard,436.0,114,Supplier-B,2025-11-28,3263
WH-D,Printer,267.0,243,Supplier-B,2025-11-04,3224
WH-D,Camera,,79,Supplier-B,2025-10-24,2582
WH-A,Printer,366.0,130,Supplier-Y,2025-03-18,2659
WH-C,Laptop,147.0,152,Supplier-Z,2024-09-11,2735
WH-C,Mobile,496.0,130,Supplier-B,2026-03-28,3419
WH-B,Keyboard,402.0,98,Supplier-Y,2026-02-04,2161
WH-B,Monitor,466.0,108,Supplier-Y,2024-12-30,2651
WH-B,Mouse,418.0,70,Supplier-Y,2025-12-05,2200
WH-D,Laptop,41.0,145,Supplier-B,2025-02-27,2790
WH-C,Camera,464.0,96,Supplier-B,2024-12-22,4033
WH-E,Keyboard,133.0,82,Supplier-A,2026-03-19,1926
WH-E,Printer,,138,Supplier-A,2024-12-02,2551
WH-B,Camera,377.0,130,Supplier-X,2024-10-23,3133
WH-A,Laptop,214.0,133,Supplier-Y,2024-07-19,2277
WH-E,Keyboard,300.0,118,Supplier-Y,2024-08-05,2441
WH-E,Mouse,114.0,103,Supplier-Z,2025-01-07,1856
WH-C,Mouse,163.0,196,Supplier-A,2025-07-05,1556
WH-E,Monitor,389.0,110,Supplier-X,2025-10-18,3101
WH-D,Printer,94.0,239,Supplier-Y,2026-04-22,2308
WH-D,Laptop,235.0,211,Supplier-Y,2026-02-17,3019
WH-E,Mouse,173.0,195,Supplier-A,2024-08-26,1943
WH-D,Mobile,50.0,115,Supplier-Y,2025-06-19,2043
WH-A,Camera,153.0,193,Supplier-Z,2025-05-18,2394
WH-C,Mouse,230.0,223,Supplier-X,2026-05-20,1700
WH-B,Tablet,201.0,180,Supplier-Z,2025-11-02,2302
WH-D,Mobile,334.0,211,Supplier-A,2025-09-21,2926
WH-B,Mouse,343.0,153,Supplier-A,2024-11-29,2263
WH-A,Mobile,195.0,131,Supplier-Y,2026-01-09,1969
WH-C,Keyboard,350.0,163,Supplier-B,2025-12-23,2649
WH-C,Camera,105.0,55,Supplier-A,2025-04-25,2529
WH-B,Keyboard,127.0,76,Supplier-X,2025-07-19,1029
WH-A,Camera,,151,Supplier-B,2025-05-07,2118
WH-A,Mobile,336.0,217,Supplier-Z,2025-01-06,2357
WH-C,Monitor,397.0,210,Supplier-Y,2024-10-23,2605
WH-B,Tablet,37.0,133,Supplier-X,2025-11-22,1803
WH-D,Camera,498.0,163,Supplier-B,2025-12-17,4013
WH-E,Tablet,325.0,241,Supplier-B,2024-07-05,3550
WH-E,Printer,347.0,129,Supplier-B,2026-05-25,3668
WH-D,Monitor,246.0,155,Supplier-X,2026-02-04,2321
WH-B,Keyboard,20.0,244,Supplier-X,2026-04-30,1094
WH-B,Mouse,260.0,226,Supplier-Z,2026-02-19,1731
WH-D,Keyboard,412.0,124,Supplier-X,2026-05-19,2541
WH-B,Laptop,211.0,193,Supplier-B,2024-09-21,2806
WH-D,Monitor,386.0,149,Supplier-Y,2026-02-25,3132
WH-D,Monitor,60.0,111,Supplier-Z,2025-05-27,2094
WH-E,Keyboard,352.0,118,Supplier-Z,2024-12-17,2667
WH-B,Mobile,89.0,213,Supplier-Y,2024-11-14,1750
WH-E,Camera,378.0,98,Supplier-Z,2026-03-17,3748
WH-A,Tablet,,76,Supplier-X,2025-12-23,1194
WH-C,Tablet,,73,Supplier-A,2025-08-07,1827
WH-A,Camera,195.0,177,Supplier-Y,2025-06-26,2325
WH-D,Laptop,61.0,87,Supplier-Z,2024-08-09,2361
WH-C,Printer,298.0,99,Supplier-X,2025-09-06,2974
WH-C,Printer,82.0,232,Supplier-X,2025-01-10,2023
WH-D,Camera,397.0,100,Supplier-Y,2026-06-13,3576
WH-A,Monitor,219.0,129,Supplier-A,2026-04-20,1972
WH-B,Laptop,286.0,173,Supplier-B,2024-10-03,3134
WH-C,Monitor,,220,Supplier-Z,2025-06-20,1561
WH-A,Monitor,,120,Supplier-A,2024-10-12,1449
WH-A,Printer,24.0,198,Supplier-Y,2026-03-15,1823
WH-D,Tablet,,90,Supplier-Z,2025-06-26,2105
WH-A,Mouse,50.0,89,Supplier-X,2025-12-01,809
WH-E,Mobile,269.0,192,Supplier-Y,2025-08-17,3060
WH-C,Camera,30.0,141,Supplier-Y,2025-09-08,2410
WH-B,Keyboard,268.0,193,Supplier-X,2025-10-06,1554
WH-E,Camera,310.0,139,Supplier-Y,2025-03-04,3445
WH-D,Keyboard,488.0,91,Supplier-B,2026-02-07,2899
WH-E,Tablet,171.0,188,Supplier-A,2026-05-24,2850
WH-D,Laptop,214.0,54,Supplier-B,2025-06-09,3309
WH-C,Monitor,,187,Supplier-Z,2025-10-19,1869
WH-D,Monitor,369.0,191,Supplier-B,2026-03-26,3035
WH-E,Keyboard,229.0,78,Supplier-Z,2026-01-10,2136
WH-E,Mobile,447.0,95,Supplier-X,2026-05-24,3538
WH-A,Monitor,268.0,58,Supplier-X,2025-07-28,1946
